DDRnc,qiskit_lib_400.qasm,condor.txt,400,21131,650524,545890,129674,6006853,5902219,1785443,8,329.8122637271881,870908
DDRnc,qiskit_lib_500.qasm,condor.txt,500,26431,965224,833190,175377,9376834,9244800,2803870,8,617.9870023727417,1296900
DDRnc,qiskit_lib_100.qasm,condor.txt,100,5231,66424,43990,23853,393553,371119,109043,9,5.296782732009888,168432
DDRnc,qiskit_lib_200.qasm,condor.txt,200,10531,201124,151290,52245,1503073,1453239,433983,9,36.24257469177246,308516
DDRnc,qiskit_lib_300.qasm,condor.txt,300,15831,395824,318590,91987,3416107,3338873,1006761,9,143.93781447410583,532744
DDRnc,qiskit_lib_400.qasm,condor.txt,400,21131,650524,545890,134017,6009343,5904709,1786273,9,303.7891614437103,872596
DDRnc,qiskit_lib_500.qasm,condor.txt,500,26431,965224,833190,168372,9341629,9209595,2792135,9,660.0097954273224,1300480
DDRnc,qiskit_lib_100.qasm,condor.txt,100,5231,66424,43990,24018,394564,372130,109380,10,5.3449084758758545,169716
DDRnc,qiskit_lib_200.qasm,condor.txt,200,10531,201124,151290,53295,1504714,1454880,434530,10,36.836028814315796,313576
DDRnc,qiskit_lib_300.qasm,condor.txt,300,15831,395824,318590,88794,3372595,3295361,992257,10,128.99936509132385,537732
DDRnc,qiskit_lib_400.qasm,condor.txt,400,21131,650524,545890,128917,5885836,5781202,1745104,10,326.45919704437256,860784
DDRnc,qiskit_lib_500.qasm,condor.txt,500,26431,965224,833190,160672,9360292,9228258,2798356,10,656.0724017620087,1302272
DDRnc,qiskit_lib_100.qasm,condor.txt,100,5231,66424,43990,24943,399394,376960,110990,11,5.851635217666626,171760
DDRnc,qiskit_lib_200.qasm,condor.txt,200,10531,201124,151290,55709,1502461,1452627,433779,11,35.19253945350647,305808
DDRnc,qiskit_lib_300.qasm,condor.txt,300,15831,395824,318590,88441,3399676,3322442,1001284,11,127.54418110847473,530088
DDRnc,qiskit_lib_400.qasm,condor.txt,400,21131,650524,545890,128526,5853565,5748931,1734347,11,337.410671710968,861088
