SABRE,qiskit_lib_200.qasm,condor.txt,200,10531,16290,63975,201124,151290,133709,260134,1392835,959278,909444,252718,7,47.60980224609375,1180452
SABRE,qiskit_lib_300.qasm,condor.txt,300,15831,24490,96175,395824,318590,272985,534529,2880071,2191735,2114501,598637,7,110.43796443939209,2148196
SABRE,qiskit_lib_400.qasm,condor.txt,400,21131,32690,128375,650524,545890,413570,811249,4379502,3921625,3816991,1090367,7,196.6418478488922,3561468
SABRE,qiskit_lib_500.qasm,condor.txt,500,26431,40890,160575,965224,833190,601942,1183884,6407808,6118741,5986707,1717839,7,314.8603038787842,4847660
SABRE,qiskit_lib_100.qasm,condor.txt,100,5231,8090,31775,66424,43990,41841,80110,421942,244918,222484,59498,8,13.034638404846191,511408
SABRE,qiskit_lib_200.qasm,condor.txt,200,10531,16290,63975,201124,151290,135642,263100,1404651,961693,911859,253523,8,50.49294972419739,1181580
SABRE,qiskit_lib_300.qasm,condor.txt,300,15831,24490,96175,395824,318590,260867,509469,2737864,2156878,2079644,587018,8,111.75092673301697,2121156
SABRE,qiskit_lib_400.qasm,condor.txt,400,21131,32690,128375,650524,545890,415921,816217,4407974,3888199,3783565,1079225,8,194.18035793304443,3558716
SABRE,qiskit_lib_500.qasm,condor.txt,500,26431,40890,160575,965224,833190,610438,1200813,6500390,6183160,6051126,1739312,8,310.05509877204895,4868756
SABRE,qiskit_lib_100.qasm,condor.txt,100,5231,8090,31775,66424,43990,43603,83190,436460,250699,228265,61425,9,13.320169448852539,512704
SABRE,qiskit_lib_200.qasm,condor.txt,200,10531,16290,63975,201124,151290,142329,276261,1475962,965512,915678,254796,9,47.23111939430237,1195144
SABRE,qiskit_lib_300.qasm,condor.txt,300,15831,24490,96175,395824,318590,279434,546641,2943711,2217370,2140136,607182,9,111.75807356834412,2093724
SABRE,qiskit_lib_400.qasm,condor.txt,400,21131,32690,128375,650524,545890,416431,816848,4409457,3890872,3786238,1080116,9,195.288893699646,3556084
SABRE,qiskit_lib_500.qasm,condor.txt,500,26431,40890,160575,965224,833190,538138,1055505,5697668,5964385,5832351,1666387,9,304.4619884490967,4852836
SABRE,qiskit_lib_100.qasm,condor.txt,100,5231,8090,31775,66424,43990,43083,82010,429623,245464,223030,59680,10,12.922961473464966,507148
SABRE,qiskit_lib_200.qasm,condor.txt,200,10531,16290,63975,201124,151290,135679,263088,1403913,949672,899838,249516,10,47.152052879333496,1189728
SABRE,qiskit_lib_300.qasm,condor.txt,300,15831,24490,96175,395824,318590,269086,525364,2822593,2204398,2127164,602858,10,111.57133769989014,2135620
SABRE,qiskit_lib_400.qasm,condor.txt,400,21131,32690,128375,650524,545890,412318,807983,4357316,3876397,3771763,1075291,10,191.92221355438232,3550448
SABRE,qiskit_lib_500.qasm,condor.txt,500,26431,40890,160575,965224,833190,562349,1104616,5970532,6083602,5951568,1706126,10,312.8847744464874,4700648
SABRE,qiskit_lib_100.qasm,condor.txt,100,5231,8090,31775,66424,43990,46588,88626,463816,242968,220534,58848,11,12.70976448059082,501248
SABRE,qiskit_lib_200.qasm,condor.txt,200,10531,16290,63975,201124,151290,129608,251465,1342984,953239,903405,250705,11,47.80779218673706,1201340
